,Name,Coordinates,Longitude,Latitude
0,TOUGUE EL KHEIR,"-8.255905133,31.16346786,0",-8.255905133,31.16346786
1,IGHRMANE,"-8.435080813,31.15671296,0",-8.435080813,31.15671296
2,AMAGDOULE,"-8.184268261,30.99088146,0",-8.184268261,30.99088146
3,DOU GOUJ,"-8.196455588,30.98722757,0",-8.196455588,30.98722757
4,IMLIL,"-7.921740545,31.13727905,0",-7.921740545,31.13727905
5,AIT OGHAYNE,"-7.576223523,31.38778664,0",-7.576223523,31.38778664
6,TASSA,"-8.751217379,30.94754419,0",-8.751217379,30.94754419
7,TANAWTE,"-8.906358152,30.96582792,0",-8.906358152,30.96582792
8,WANZIDE,"-8.793312362,31.03653584,0",-8.793312362,31.03653584
9,TAGHRATE,"-8.569657372,30.99689613,0",-8.569657372,30.99689613
10,TAMAGOUNSI,"-8.470841453,31.05008373,0",-8.470841453,31.05008373
11,ADASSIL,"-8.495085665,31.11166768,0",-8.495085665,31.11166768
12,SLAMT,"-8.252172077,31.17738092,0",-8.252172077,31.17738092
13,TIGOURRAMINE,"-8.129594032,31.07342339,0",-8.129594032,31.07342339
14,TAZGZAOUTE,"-8.375323506,30.98376055,0",-8.375323506,30.98376055
15,TAWRIRTE,"-8.362413167,30.99378338,0",-8.362413167,30.99378338
16,AMASSINE,"-7.722989857,31.39389329,0",-7.722989857,31.39389329
17,ISSOU QAN,"-8.622166881,30.97584479,0",-8.622166881,30.97584479
18,IMINIGHZAR,"-8.420192467,31.12606843,0",-8.420192467,31.12606843
19,IWNARNE (SOUK),"-8.48862263,31.11307663,0",-8.48862263,31.11307663
20,TAGOUMATE,"-8.526412951,31.01178906,0",-8.526412951,31.01178906
21,TIZINE SAGDALE,"-7.664356971,31.37012305,0",-7.664356971,31.37012305
22,TAOURIRTE,"-7.667103935,31.36568841,0",-7.667103935,31.36568841
23,AIT SOUKA,"-7.909901495,31.1409879,0",-7.909901495,31.1409879
24,MEZZIKENE,"-7.925906953,31.13703904,0",-7.925906953,31.13703904
25,AGUERSIOUAL,"-7.924804504,31.16046652,0",-7.924804504,31.16046652
26,IMSKAR,"-7.938962116,31.20489761,0",-7.938962116,31.20489761
27,OUAOUSSAFL,"-7.946694593,31.17825491,0",-7.946694593,31.17825491
28,TINITINE,"-7.947450547,31.18972961,0",-7.947450547,31.18972961
29,AGUINANE,"-7.977445748,31.13762602,0",-7.977445748,31.13762602
30,OUDKINTE,"-7.825762253,31.3364155,0",-7.825762253,31.3364155
31,IGOUDMANE,"-7.56380545,31.38382321,0",-7.56380545,31.38382321
32,AWOULA,"-8.78905947,31.03744237,0",-8.78905947,31.03744237
33,ARGUE,"-8.406493268,30.99004383,0",-8.406493268,30.99004383
34,WAWDID,"-8.39690382,30.98577107,0",-8.39690382,30.98577107
35,ARAMD,"-7.916838203,31.12623339,0",-7.916838203,31.12623339
36,MESREF EL BORJ,"-7.797492255,31.37361429,0",-7.797492255,31.37361429
37,TISSAKHTE,"-8.897832707,31.08975931,0",-8.897832707,31.08975931
38,TAFRAOUTE,"-7.321471795,31.36691498,0",-7.321471795,31.36691498
39,AFANSOU,"-8.730790682,30.93376534,0",-8.730790682,30.93376534
40,IGHIL NOUAFFANE,"-7.70469748,31.39443969,0",-7.70469748,31.39443969
41,TINAGRAT,"-8.683391262,30.94318734,0",-8.683391262,30.94318734
42,TIGHZA,"-7.701553804,31.39854002,0",-7.701553804,31.39854002
43,ALOUSS,"-7.866442548,31.32389831,0",-7.866442548,31.32389831
44,AMASLANE,"-8.067533606,31.0646947,0",-8.067533606,31.0646947
45,AIT BOUJANOWI,"-7.796391695,31.37216577,0",-7.796391695,31.37216577
46,IGRI OU FELLA,"-7.813008904,31.34357838,0",-7.813008904,31.34357838
47,TIZI WADO,"-8.023400925,31.2417962,0",-8.023400925,31.2417962
48,IGHRAME,"-8.529616906,31.01510206,0",-8.529616906,31.01510206
49,TABYA,"-8.978759699,31.02496869,0",-8.978759699,31.02496869
50,TASSOUAKTE,"-8.24420994,30.95635278,0",-8.24420994,30.95635278
51,TAGADDOTE,"-8.806111636,31.08063665,0",-8.806111636,31.08063665
52,TAGADIRTE,"-8.81077752,31.07242193,0",-8.81077752,31.07242193
53,IMELALEN,"-8.939218394,30.94616266,0",-8.939218394,30.94616266
54,TIJDINE,"-8.878980277,31.03968941,0",-8.878980277,31.03968941
55,TOUG EL KHEIR,"-7.715514115,31.30855798,0",-7.715514115,31.30855798
56,MAJOU,"-8.08388093,30.94383411,0",-8.08388093,30.94383411
57,TINFITE,"-8.091366913,30.95623069,0",-8.091366913,30.95623069
58,TOUG EL KHIR,"-8.139299889,31.06321117,0",-8.139299889,31.06321117
59,AIT ALI,"-8.50057833,31.0693806,0",-8.50057833,31.0693806
60,AMOUTOU,"-7.657691221,31.36382514,0",-7.657691221,31.36382514
61,IZNAGUEN,"-7.67714153,31.37929169,0",-7.67714153,31.37929169
62,AIT KATTOF,"-8.530783687,31.00508888,0",-8.530783687,31.00508888
63,TARGUA,"-8.499325152,31.07282962,0",-8.499325152,31.07282962
64,TADDART,"-8.913765124,30.99298386,0",-8.913765124,30.99298386
65,DR ASNI (QDIM),"-7.978191324,31.22880218,0",-7.978191324,31.22880218
66,TAMGOUNSI,"-7.986894007,31.23903469,0",-7.986894007,31.23903469
67,TAGADIRTE NAIT ALI,"-7.95653987,31.19648339,0",-7.95653987,31.19648339
68,TIGAMMA NIGRANE,"-8.256376354,30.94171727,0",-8.256376354,30.94171727
69,OUAN CHKRIR,"-8.714342264,31.02986998,0",-8.714342264,31.02986998
70,,"-8.761011479,31.04186461,0",-8.761011479,31.04186461
71,TALBORJTE,"-8.765730562,31.08177837,0",-8.765730562,31.08177837
72,,"-7.809987067,31.19459338,0",-7.809987067,31.19459338
73,IMI OU GHLAD,"-7.955988692,31.19223786,0",-7.955988692,31.19223786
74,TABRADJOTE,"-8.707056639,31.10564021,0",-8.707056639,31.10564021
75,AIT AMAR,"-7.824404703,31.26181513,0",-7.824404703,31.26181513
76,TIKHFIST,"-7.800453274,31.2558691,0",-7.800453274,31.2558691
77,AIT BAHAMMOU,"-8.717520696,30.94145209,0",-8.717520696,30.94145209
78,VILLAGE DE MINE TIWBA,"-8.719418848,30.91357251,0",-8.719418848,30.91357251
79,AIN AMRANE,"-7.68131772,31.2205741,0",-7.68131772,31.2205741
80,AGADIR NIJANATEN,"-8.489665519,30.89512945,0",-8.489665519,30.89512945
81,IGHIR,"-8.078673662,30.97766979,0",-8.078673662,30.97766979
82,TAJGALTE,"-8.097185022,31.01378482,0",-8.097185022,31.01378482
83,TIKENTAFINE,"-8.037813654,30.99883154,0",-8.037813654,30.99883154
84,ALLOUSSE,"-8.525231264,31.01015155,0",-8.525231264,31.01015155
85,OUSSARTK,"-7.888659813,31.19590092,0",-7.888659813,31.19590092
86,TISSILI,"-7.908590146,31.22311679,0",-7.908590146,31.22311679
87,MAGHDIR,"-8.742511216,31.06830184,0",-8.742511216,31.06830184
88,IZIDE,"-8.971735193,30.94323187,0",-8.971735193,30.94323187
89,IBALOULENE,"-8.90367629,30.93811305,0",-8.90367629,30.93811305
90,AFELLA IZDATEN,"-8.888442672,30.9978175,0",-8.888442672,30.9978175
91,TAGENZA IGOUNTAR,"-8.807022044,31.0338402,0",-8.807022044,31.0338402
92,TANAMARTE,"-8.826939422,31.03136705,0",-8.826939422,31.03136705
93,TAOURIRTE,"-6.574053556,31.28226736,0",-6.574053556,31.28226736
94,TAMESSOULTE,"-8.488252609,31.02006195,0",-8.488252609,31.02006195
95,ARG,"-8.583847816,31.01179676,0",-8.583847816,31.01179676
96,ASSOUL,"-8.270563474,31.09124227,0",-8.270563474,31.09124227
97,IMZAINE,"-8.260691371,31.1316045,0",-8.260691371,31.1316045
98,AZENDOU,"-8.934217628,31.06170544,0",-8.934217628,31.06170544
99,MAJDID,"-8.491661558,31.11891134,0",-8.491661558,31.11891134
100,AIT IRGHIT,"-8.19238706,31.17476694,0",-8.19238706,31.17476694
101,ASSIF ZAGZAWNE,"-8.051928309,31.12024311,0",-8.051928309,31.12024311
102,TAGHBARTE,"-8.1186277,30.96766146,0",-8.1186277,30.96766146
103,TIGDIDE NIZDARENE,"-8.065643552,30.92865332,0",-8.065643552,30.92865332
104,TAGHZIRTE,"-8.046469356,30.92799191,0",-8.046469356,30.92799191
105,IJOKAKE,"-8.151115813,30.99130542,0",-8.151115813,30.99130542
106,TAMGGOUCHTE,"-7.141522835,31.15044949,0",-7.141522835,31.15044949
107,AMZZI,"-8.20384213,31.19582085,0",-8.20384213,31.19582085
108,TIKSITE,"-8.489155698,31.05817965,0",-8.489155698,31.05817965
109,AKMFARGA,"-8.921630344,30.99767676,0",-8.921630344,30.99767676
110,AGHBALOU,"-8.242517414,30.94022172,0",-8.242517414,30.94022172
111,CHIKER,"-7.720390422,31.22549755,0",-7.720390422,31.22549755
112,INA FGANE,"-8.151372916,30.9822627,0",-8.151372916,30.9822627
113,TASGA NWARG,"-8.161421348,30.97883229,0",-8.161421348,30.97883229
114,IMI NOUGARZI,"-8.163958152,31.00005896,0",-8.163958152,31.00005896
115,TARWATE,"-8.187861922,30.98759707,0",-8.187861922,30.98759707
116,TIZIRTE,"-8.187818552,31.13201448,0",-8.187818552,31.13201448
117,ASSAMRANE,"-7.591277471,31.38555915,0",-7.591277471,31.38555915
118,OURAKEN,"-7.920639689,31.27056233,0",-7.920639689,31.27056233
119,OUTGHAL,"-7.930793659,31.30550092,0",-7.930793659,31.30550092
120,TAFILALTE,"-7.713545096,31.38607287,0",-7.713545096,31.38607287
121,TIFNI,"-8.353597408,30.94153044,0",-8.353597408,30.94153044
122,IJJIKEN,"-7.905476447,31.32052027,0",-7.905476447,31.32052027
123,OUKHRIBENE,"-7.887577351,31.33126967,0",-7.887577351,31.33126967
124,TAMAHANTE,"-7.879657495,31.33328055,0",-7.879657495,31.33328055
125,AMAGDOUL,"-7.717890232,31.34680011,0",-7.717890232,31.34680011
126,TAWNGHASTE,"-8.534981297,31.06333369,0",-8.534981297,31.06333369
127,EL HADDAD,"-7.782551126,31.37667699,0",-7.782551126,31.37667699
128,AMKCHOUD,"-6.591443137,31.21359242,0",-6.591443137,31.21359242
129,TAGRAGRA,"-6.713868019,31.27692212,0",-6.713868019,31.27692212
130,TIGHIRTE TOUDOUTE,"-6.591865773,31.26670986,0",-6.591865773,31.26670986
131,TIGHFART,"-7.653835545,31.25367277,0",-7.653835545,31.25367277
132,TAKHAFSATE,"-8.063128004,31.15851028,0",-8.063128004,31.15851028
