,Name,Coordinates,Longitude,Latitude
0,TIGHAZRATINE,"-8.684462157,31.19535677,0",-8.684462157,31.19535677
1,TNID,"-8.650265,31.21195608,0",-8.650265,31.21195608
2,SAHB AIT ALI OU HAMMOU,"-8.472844637,31.28548696,0",-8.472844637,31.28548696
3,IKFAYANE,"-8.504893993,31.2897599,0",-8.504893993,31.2897599
4,AWRIR,"-8.471770148,31.26119383,0",-8.471770148,31.26119383
5,ANABDOUR,"-8.451520006,31.20332177,0",-8.451520006,31.20332177
6,IRIQ TAHTANI,"-8.678406692,31.2418534,0",-8.678406692,31.2418534
7,AGADIR IRIJDALENE,"-8.779213587,31.25172337,0",-8.779213587,31.25172337
8,LOUBBOU,"-7.280480557,31.45154941,0",-7.280480557,31.45154941
9,AIT YAHIA,"-7.291980343,31.45953353,0",-7.291980343,31.45953353
10,ID AISSA,"-7.291636177,31.45221533,0",-7.291636177,31.45221533
11,AIT MELLOUL,"-8.650465056,31.24092669,0",-8.650465056,31.24092669
12,ZNADA,"-8.729030795,31.23524135,0",-8.729030795,31.23524135
13,AIT BEL EL HOUCEINE,"-8.942019476,31.08928431,0",-8.942019476,31.08928431
14,TABIA,"-8.643380417,31.21343025,0",-8.643380417,31.21343025
15,IGAZDARENE,"-8.564452544,31.24384832,0",-8.564452544,31.24384832
16,ASGAWERE,"-8.556594142,31.24132853,0",-8.556594142,31.24132853
17,LAMADIR,"-8.580874688,31.24978809,0",-8.580874688,31.24978809
18,OUANINA,"-7.71684852,31.48323462,0",-7.71684852,31.48323462
19,AZARIF,"-7.279124992,31.44761997,0",-7.279124992,31.44761997
20,MADENE,"-7.61631707,31.43210624,0",-7.61631707,31.43210624
21,AIT DIB,"-8.26700551,31.24723937,0",-8.26700551,31.24723937
22,JNANE HEMAR RASS,"-8.280893818,31.25403673,0",-8.280893818,31.25403673
23,AGAWZE,"-8.781028853,31.15714366,0",-8.781028853,31.15714366
24,LAGHRIBI,"-8.588306874,31.27009821,0",-8.588306874,31.27009821
25,BYOUGRA,"-8.850884464,31.21422447,0",-8.850884464,31.21422447
26,AQASSRI,"-7.48721326,31.62764595,0",-7.48721326,31.62764595
27,ADANDIME,"-7.504283574,31.53071309,0",-7.504283574,31.53071309
28,LAHRACH,"-8.6012706,31.28106984,0",-8.6012706,31.28106984
29,BIRBBOU,"-8.591100549,31.22792339,0",-8.591100549,31.22792339
30,BOUZOUGA,"-8.507175155,31.25315763,0",-8.507175155,31.25315763
31,DAHRA,"-8.482558135,31.29334171,0",-8.482558135,31.29334171
32,AIT CHARAF,"-8.580821939,31.20303377,0",-8.580821939,31.20303377
33,AMASSINE,"-8.625229589,31.17074865,0",-8.625229589,31.17074865
34,BOUAOUID,"-7.750111451,31.51736966,0",-7.750111451,31.51736966
35,MRABTINE,"-8.59487655,31.28910472,0",-8.59487655,31.28910472
36,TIGRAR,"-8.433375657,31.25567161,0",-8.433375657,31.25567161
37,ABAAQIL,"-7.306460305,31.66802781,0",-7.306460305,31.66802781
38,TAZROUT,"-8.031402054,31.35308247,0",-8.031402054,31.35308247
39,TIZI GHOURANE,"-8.237389518,31.20817135,0",-8.237389518,31.20817135
40,TAFAGAGHT,"-8.224065275,31.19619803,0",-8.224065275,31.19619803
41,TIMIRRAGHTE,"-7.361713683,31.59697847,0",-7.361713683,31.59697847
42,TISSAQLAFINE,"-7.336476589,31.54796343,0",-7.336476589,31.54796343
43,TIZI NOUZAM,"-7.609291303,31.42746263,0",-7.609291303,31.42746263
44,TAMAZIRT,"-8.669674015,31.15946821,0",-8.669674015,31.15946821
45,IDAZZANE,"-8.72651077,31.26213132,0",-8.72651077,31.26213132
46,TARAGOUSTE,"-8.926818538,31.18812357,0",-8.926818538,31.18812357
47,TAGDOUATE EL FOUKANIA,"-8.003306743,31.32272152,0",-8.003306743,31.32272152
48,IZA ROUANE,"-8.696491379,31.17081098,0",-8.696491379,31.17081098
49,TAMZZARTE,"-8.084076021,31.29920809,0",-8.084076021,31.29920809
50,IGHRISS NAIT FASKA,"-7.620441804,31.4669102,0",-7.620441804,31.4669102
51,AIT HAOUCHA,"-7.662948429,31.44581486,0",-7.662948429,31.44581486
52,TIZI,"-7.282041635,31.53574724,0",-7.282041635,31.53574724
53,IGUMIR,"-9.035209037,30.82877306,0",-9.035209037,30.82877306
54,TIHOUNA IMZILEN,"-8.60018102,31.29555966,0",-8.60018102,31.29555966
55,TADARTE,"-8.412326976,31.23626893,0",-8.412326976,31.23626893
56,TIMLILTE,"-8.456927582,31.2147943,0",-8.456927582,31.2147943
57,LAMKIMENE,"-8.63545762,31.24896848,0",-8.63545762,31.24896848
58,LQARQBA,"-8.59508113,31.29101185,0",-8.59508113,31.29101185
59,AIT NACER,"-8.591064815,31.2313433,0",-8.591064815,31.2313433
60,IGHIR,"-7.329992194,31.37794546,0",-7.329992194,31.37794546
61,ASLOUNE,"-8.559754046,31.22434109,0",-8.559754046,31.22434109
62,ZAOUIAT EL FANSA,"-8.546773733,31.2543842,0",-8.546773733,31.2543842
63,BEN SWINA,"-8.314426925,31.38114971,0",-8.314426925,31.38114971
64,TADARTE KIKE,"-8.024073867,31.28630334,0",-8.024073867,31.28630334
65,TITE,"-8.494923198,31.2364933,0",-8.494923198,31.2364933
66,IMOUTANE,"-7.787885463,31.55261695,0",-7.787885463,31.55261695
67,OUED TEN,"-7.863936047,31.34813107,0",-7.863936047,31.34813107
68,AZILAL,"-8.592487674,31.22472055,0",-8.592487674,31.22472055
69,ZAOUIAT SIDI BRAHIM LAMZOUDI,"-8.469992217,31.23688268,0",-8.469992217,31.23688268
70,AMSSINE KIKE,"-8.036239943,31.2835685,0",-8.036239943,31.2835685
71,SOUR,"-7.946934795,31.34079213,0",-7.946934795,31.34079213
72,AWRIR,"-7.957352174,31.35155975,0",-7.957352174,31.35155975
73,AIT ABDELLAH,"-8.55410144,31.22151119,0",-8.55410144,31.22151119
74,AGADIR ASLWANE,"-8.567759451,31.22660419,0",-8.567759451,31.22660419
75,ONGASTE,"-8.549895774,31.24342395,0",-8.549895774,31.24342395
76,WIDALENE,"-8.573325087,31.20560249,0",-8.573325087,31.20560249
77,TIFARWINE,"-8.092953134,31.29398749,0",-8.092953134,31.29398749
78,CHHIDA,"-8.01011888,31.42055265,0",-8.01011888,31.42055265
79,TIGUENZIWINE,"-8.224414186,31.24552347,0",-8.224414186,31.24552347
80,ZAOUIAT SIDI ABDELHAK,"-6.60756939,31.01725791,0",-6.60756939,31.01725791
81,TIFAYTORE,"-8.982257445,31.12242494,0",-8.982257445,31.12242494
82,TIZI,"-7.145828037,31.51766913,0",-7.145828037,31.51766913
83,TIGHRATINE,"-7.244506965,31.492217,0",-7.244506965,31.492217
84,AMASSALANE,"-7.197751768,31.45656935,0",-7.197751768,31.45656935
85,CHEMS,"-7.65957703,31.54142552,0",-7.65957703,31.54142552
86,DCHAR AIT FASKA,"-7.677239629,31.53729919,0",-7.677239629,31.53729919
87,AIT BOUHAMED,"-8.26460474,31.26771801,0",-8.26460474,31.26771801
88,TIMICHCHI,"-8.542732902,31.1969447,0",-8.542732902,31.1969447
89,OULAD HASSONE,"-8.359874395,31.35767096,0",-8.359874395,31.35767096
90,EL MRIJA,"-8.37381744,31.36506169,0",-8.37381744,31.36506169
91,TAKATERT,"-7.799461124,31.39019893,0",-7.799461124,31.39019893
92,LAASSAKRA,"-8.265585878,31.27738275,0",-8.265585878,31.27738275
93,AIT LGHAZI,"-7.370218402,31.55639701,0",-7.370218402,31.55639701
94,OULAD DIB,"-8.349696212,31.34994386,0",-8.349696212,31.34994386
95,TADROKHTE,"-8.048878094,31.27266815,0",-8.048878094,31.27266815
96,AGDOUR KIK,"-8.054872427,31.25487641,0",-8.054872427,31.25487641
97,EL BARED,"-7.943574106,31.37898101,0",-7.943574106,31.37898101
98,DOU TALAINTE,"-8.987184743,31.03108634,0",-8.987184743,31.03108634
99,EL BARJ,"-8.912427695,31.17585807,0",-8.912427695,31.17585807
100,ZERGA,"-8.097970252,31.44036682,0",-8.097970252,31.44036682
101,DRIAAT,"-8.104991358,31.44430633,0",-8.104991358,31.44430633
102,AGLUGAL,"-9.028122614,30.9392723,0",-9.028122614,30.9392723
103,ZAOUIT TIZI MACHOU,"-8.967939216,31.05527567,0",-8.967939216,31.05527567
104,TAGADIRTE EL QADI,"-8.065912024,31.41494993,0",-8.065912024,31.41494993
105,AIT BOU YOUSSEF,"-8.485852081,31.23648063,0",-8.485852081,31.23648063
106,AIT NIFI,"-8.680519279,31.22154361,0",-8.680519279,31.22154361
107,AZROU WADAKER,"-8.276009022,31.21614472,0",-8.276009022,31.21614472
108,COOP-FATH,"-7.582412235,31.60582827,0",-7.582412235,31.60582827
109,ANAZDI,"-8.643851163,31.2377567,0",-8.643851163,31.2377567
110,AMSSISSENE,"-9.002994579,31.09018153,0",-9.002994579,31.09018153
111,AIT ALLA,"-8.981223802,31.04112671,0",-8.981223802,31.04112671
112,AIT LAALAM,"-7.287974871,31.55739234,0",-7.287974871,31.55739234
113,TAMSSOULTE,"-7.304762041,31.55478602,0",-7.304762041,31.55478602
114,AMARKHSSINE,"-7.398912815,31.39450959,0",-7.398912815,31.39450959
115,IMATSANE,"-7.39097238,31.44546292,0",-7.39097238,31.44546292
116,TAWRIRTE,"-7.336156835,31.45349048,0",-7.336156835,31.45349048
117,TAGUNITE NISLI,"-7.366769607,31.54136294,0",-7.366769607,31.54136294
